nearest_indian_state,anomaly_candidates,closest_event_km,strongest_anomaly,highest_magnitude
Ladakh,11,163.7376507887975,-0.17747898691653063,6.0
Andaman and Nicobar Islands,3,75.15057207903348,-0.1547478740340582,5.4
Manipur,2,74.68725198815396,-0.1330289571625929,5.0
Jammu and Kashmir,1,65.4289067916523,-0.13293472700570386,5.0
Sikkim,1,109.20518542317777,-0.12826945255288424,7.1
